0.85871,-4.1966,1
0.51083,-4.6176,1
0.26251,-4.9871,1
0.10704,-5.2896,1
0.028255,-5.5104,1
0.0022636,-5.6375,1
-8.1108e-005,-5.6635,1
-0.010281,-5.5868,1
-0.059057,-5.4121,1
-0.17329,-5.149,1
-0.37331,-4.8113,1
-0.67076,-4.4145,1
-1.0673,-3.9734,1
-1.5541,-3.5005,1
-2.1125,-3.0045,1
-2.7152,-2.4895,1
-3.3288,-1.9558,1
-3.9162,-1.4011,1
-4.4401,-0.82258,1
-4.8659,-0.21952,1
-5.1649,0.40474,1
-5.3164,1.0408,1
-5.3101,1.6727,1
-5.1463,2.2779,1
-4.8363,2.8296,1
-4.4016,3.299,1
-3.8713,3.659,1
-3.2804,3.8881,1
-2.6663,3.9739,1
-2.066,3.9154,1
-1.5124,3.725,1
-1.0322,3.4278,1
-0.6434,3.0598,1
-0.3539,2.6642,1
-0.16127,2.2874,1
-0.053093,1.9733,1
-0.0084436,1.7587,1
-2.5352e-005,1.6686,1
0.0030594,1.7136,1
0.032239,1.8885,1
0.11635,2.1727,1
0.27873,2.5331,1
0.53486,2.9275,1
0.89066,3.3099,1
1.3416,3.6354,1
1.8731,3.8651,1
2.4612,3.97,1
3.0746,3.9333,1
3.6775,3.7515,1
4.2322,3.4335,1
4.7027,2.9981,1
5.0575,2.4709,1
5.2722,1.8804,1
5.3321,1.2548,1
5.233,0.61799,1
4.9818,-0.011617,1
4.5958,-0.62246,1
4.1013,-1.2093,1
3.5311,-1.7717,1
2.9221,-2.3122,1
2.3118,-2.8333,1
1.7351,-3.336,1
1.2217,-3.8174,1
0.79327,-4.2704,1
0.46217,-4.6837,1
0.23021,-5.043,1
0.088998,-5.3328,1
0.020935,-5.5386,1
0.0010609,-5.6491,1
-0.00038342,-5.6577,1
-0.014989,-5.5641,1
-0.073038,-5.3737,1
-0.20049,-5.097,1
-0.41633,-4.7483,1
-0.73061,-4.343,1
-1.1432,-3.8958,1
-1.6436,-3.4185,1
-2.2116,-2.9191,1
